bsdb,ref_idsys,id,L,spType,catalogue,filename,line
J000001.10+385133.7:c1,WDS,00000+3852A,,B,WDS,wds.dat,686072
J000001.10+385133.7:c1,CCDM,00000+3852A,,B,CCDM,ccdm.dat,14
J000003.14+002133.3:c1,WDS,00001+0022A,,M,WDS,wds.dat,26
J000006.64+752859.7:c1,WDS,00000+7530A,,A,WDS,wds.dat,2
J000007.30+184417.0:c1,GCVS,DM Peg A,6.58,A,II/150A,catalog.dat,4280
J000007.30+184417.0:c1,GCVS,DM Peg A,,A,CEV,catalog.dat,4280
J000007.30+184417.0:c1,GCVS,DM Peg A,,A,B/gcvs,gcvs_cat.dat,4280
J000007.30+184417.0:c1,GCVS,DM Peg A,,B,J/A+A/417/263,table4.dat,4280
J000007.30+184417.0:c1,GCVS,DM Peg A,,S,J/A+A/417/263,table4.dat,4280
J000007.30+184417.0:c2,GCVS,DM Peg B,7.36,,II/150A,catalog.dat,4281
J000009.76-251928.8:c1,CCDM,00002-2519A,,G,CCDM,ccdm.dat,68
J000009.76-251928.8:c1,WDS,00002-2519A,,G,WDS,wds.dat,686098
J000009.76-251928.8:c2,CCDM,00002-2519B,,G,CCDM,ccdm.dat,69
J000010.39-002036.3:c1,WDS,00002-0021A,,G,WDS,wds.dat,61
J000010.39-002036.3:c2,WDS,00002-0021B,,K,WDS,wds.dat,62
J000010.68+411928.9:c1,WDS,00002+4119A,,K,WDS,wds.dat,40
J000012.14+014617.7:c1,CCDM,00002+0146A,,G,CCDM,ccdm.dat,53
J000012.14+014617.7:c1,WDS,00002+0146A,,G,WDS,wds.dat,686089
J000013.00+001404.8:c1,WDS,00002+0014A,,M,WDS,wds.dat,57
J000013.77+164056.6:c1,WDS,00003+1642A,,G,WDS,wds.dat,93
J000015.92+080025.9:c1,WDS,00003+0800A,,K,WDS,wds.dat,97
J000018.65+655642.0:c1,CCDM,00003+6557A,,F,CCDM,ccdm.dat,77
J000018.65+655642.0:c1,WDS,00003+6557A,,F,WDS,wds.dat,686105
J000019.10-441726.0:c1,CCDM,00003-4417A,,K,CCDM,ccdm.dat,686126
J000019.10-441726.0:c1,WDS,00003-4417A,,G,WDS,wds.dat,686127
J000020.40+565111.4:c1,WDS,00003+5651A,,A,WDS,wds.dat,89
J000020.62-411751.9:c1,WDS,00003-4118A,,G,WDS,wds.dat,110
J000022.54-105141.8:c1,WDS,00004-1052A,,D,WDS,wds.dat,174
J000024.61+602530.4:c1,WDS,00004+6026A,,K,WDS,wds.dat,686147
J000025.28-471046.5:c1,CCDM,00004-4711A,,F,CCDM,ccdm.dat,180
J000025.28-471046.5:c1,WDS,00004-4711A,,F,WDS,wds.dat,686181
J000025.49+083006.9:c1,WDS,00004+0830A,,K,WDS,wds.dat,686169
