bsdb,id,e,q,period,a,parallax,i,notes
J000001.02-192955.7:p1-2,224690,0.0,,499.7989,0.01431,,118.06, | ref_idsys: HD | id: 224690 | catalogue: ORB6 | filename: orb6.dat
J000001.02-192955.7:p3-4,224690; 2,0.0,,499.79892291666664,0.014309999999999998,20.85,118.06, | ref_idsys: HD; HIP | id: 224690; 2 | catalogue: ORB6; J/A+A/546/A69 | filename: orb6.dat; table1.dat
J000004.08+341118.8:p1-2,1707,0.473,,954.5,,,, | ref_idsys: SBC9 | id: 1707 | catalogue: SB9 | filename: orbits.dat
J000007.30+184417.0:p1-2,DM Peg,,0.32499999999999996,2.588993,,1.0,79.0, | ref_idsys: GCVS | id: DM Peg | catalogue: J/A+A/417/263; II/150A; B/gcvs; CEV | filename: table3.dat; catalog.dat; gcvs_cat.dat; table2.dat
J000019.10-441726.0:p1-2,224750; 25; 00003-4417AB,0.703,,140292.525,1.023,13.07076923076923,75.3, | ref_idsys: HD; HIP; WDS | id: 224750; 25; 00003-4417AB | catalogue: ORB6; Hipparcos; J/A+A/546/A69 | filename: orb6.dat; hip_main.dat; table1.dat
J000020.60+605943.0:p1-2,V654 Cas,,,9.884258,,,, | ref_idsys: GCVS | id: V654 Cas | catalogue: B/gcvs | filename: gcvs_cat.dat
J000025.28-471046.5:p1-2,224764,,,,,3.74,, | ref_idsys: HD | id: 224764 | catalogue: Hipparcos | filename: hip_main.dat
J000029.99-393729.0:p1-2,SW Phe,,,2.5531,,,, | ref_idsys: GCVS | id: SW Phe | catalogue: B/gcvs; CEV | filename: gcvs_cat.dat; catalog.dat
J000032.00-721209.9:p1-2,224766,,,,,15.1,, | ref_idsys: HD | id: 224766 | catalogue: Hipparcos | filename: hip_main.dat
J000034.16-530550.7:p1-2,224782,,,,,16.89,, | ref_idsys: HD | id: 224782 | catalogue: Hipparcos | filename: hip_main.dat
J000038.09-664057.1:p1-2,224783,,,,,14.660000000000002,, | ref_idsys: HD | id: 224783 | catalogue: Hipparcos | filename: hip_main.dat
J000100.40+602646.0:p1-2,V336 Cas,,,0.5972876,,,, | ref_idsys: GCVS | id: V336 Cas | catalogue: B/gcvs | filename: gcvs_cat.dat
J000122.50-263524.0:p1-2,UU Scl,,,3.447,,,, | ref_idsys: GCVS | id: UU Scl | catalogue: B/gcvs; CEV | filename: gcvs_cat.dat; catalog.dat
J000123.69+393638.9:p1-2,17178; 224873; 110; 00014+3937AB,0.6550176470588236,,82340.24117647059,0.8622705882352941,20.235263157894735,128.8, | ref_idsys: ADS; HD; HIP; WDS | id: 17178; 224873; 110; 00014+3937AB | catalogue: J/A+A/546/A69; ORB6; Hipparcos | filename: table1.dat; orb6.dat; hip_main.dat; table2.dat
J000129.23+304408.6:p1-2,224882,,,,,9.93,, | ref_idsys: HD | id: 224882 | catalogue: Hipparcos | filename: hip_main.dat
J000139.46+733642.6:p1A-1B,2537,0.214,,9.5464,,,, | ref_idsys: SBC9 | id: 2537 | catalogue: SB9 | filename: orbits.dat
J000146.90+673025.0:p1-2,V747 Cep,,,5.33146,,,, | ref_idsys: GCVS | id: V747 Cep | catalogue: B/gcvs | filename: gcvs_cat.dat
J000156.34-413649.8:p1-2,224937,,,,,7.56,, | ref_idsys: HD | id: 224937 | catalogue: Hipparcos | filename: hip_main.dat
J000208.02-024912.2:p1-2,2167,0.179,,1273.0,,,, | ref_idsys: SBC9 | id: 2167 | catalogue: SB9 | filename: orbits.dat
J000208.72-681649.3:p1A-1B,224953,,,,,63.029999999999994,, | ref_idsys: HD | id: 224953 | catalogue: Hipparcos | filename: hip_main.dat
J000210.18+270455.6:p1-4,17175; 224930,0.38,,9597.856875000001,0.83,82.17,49.0, | ref_idsys: ADS; HD | id: 17175; 224930 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J000210.18+270455.6:p1-5,17175; 224930; 171,0.38,,9597.72642857143,0.83,82.17,49.0, | ref_idsys: ADS; HD; HIP | id: 17175; 224930; 171 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J000210.18+270455.6:p1-6,17175,0.38000000000000006,,9597.5525,0.83,82.17,49.0, | ref_idsys: ADS | id: 17175 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J000210.18+270455.6:p1-7,17175; 224930; 171,0.38,,9597.72642857143,0.83,82.17,49.0, | ref_idsys: ADS; HD; HIP | id: 17175; 224930; 171 | catalogue: J/A+A/546/A69; ORB6 | filename: table1.dat; orb6.dat
J000210.18+270455.6:p1A-1B,17175; 224930; 171; 1468; 00022+2705AB,0.3798333333333333,,9598.0840625,0.8300000000000001,82.17,49.0, | ref_idsys: ADS; HD; HIP; SBC9; WDS | id: 17175; 224930; 171; 1468; 00022+2705AB | catalogue: J/A+A/546/A69; ORB6; SB9 | filename: table1.dat; orb6.dat; orbits.dat; table2.dat
J000212.38+595755.2:p1-2,240475,,,,,3.89,, | ref_idsys: HD | id: 240475 | catalogue: Hipparcos | filename: hip_main.dat
J000216.05-270805.5:p1-2,224989,,,,,9.02,, | ref_idsys: HD | id: 224989 | catalogue: Hipparcos | filename: hip_main.dat
